id;foerderung;investitionsort;traeger_unternehmen;plz;strasse_nr;bewilligungsjahr;foerderbereich;projektbezeichnung;bewilligungssumme;rss_titel
579;Unternehmensförderung;Treptow-Köpenick;"ABiTEP GmbH";12489;"Glienicker Weg 185";2019;"Herstellungorganischer Chemikalien";"Erweiterung einer Betriebsstätte";900000;"Erweiterung einer Betriebsstätte"
1347;Unternehmensförderung;Spandau;"AWB Aluminiumwerk Berlin GmbH";13581;"Staakener Str. 43-52";2018;Press/Zieh/Stanzung;"Errichtung einer Betriebsstätte";700000;"Errichtung einer Betriebsstätte"
1092;Unternehmensförderung;Mitte;"Intermate Media GmbH";10553;"Sickingenstr. 70";2018;Werbeagenturen;"Erweiterung einer Betriebsstätte";150000;"Erweiterung einer Betriebsstätte"
837;Unternehmensförderung;Pankow;"Menzel IT GmbH";13086;"Charlottenburger Str. 33A";2018;IT-Beratung;"Erweiterung einer Betriebsstätte";50310;"Erweiterung einer Betriebsstätte"
1605;Unternehmensförderung;Neukölln;"Tema - Fischer GmbH";12357;"Kanalstraße 7 A";2017;Mechanik;"Erweiterung einer Betriebsstätte";271400;"Erweiterung einer Betriebsstätte"
582;Unternehmensförderung;Treptow-Köpenick;"Astro- und Feinwerktechnik Adlershof GmbH";12489;"Johann-Hittorf-Str. 8";2019;"Herstellung elektronischer Messinstrumente";"Erweiterung einer Betriebsstätte";250740;"Erweiterung einer Betriebsstätte"
1350;Unternehmensförderung;Tempelhof-Schöneberg;"SOPAT GmbH";12099;"Ordensmeisterstr. 15";2017;"Herstellung elektronischer Messinstrumstrumente";"Erweiterung einer Betriebsstätte";48300;"Erweiterung einer Betriebsstätte"
1095;Unternehmensförderung;Friedrichshain-Kreuzberg;"KAEMI GmbH";10969;"Prinzessinnenstr. 19-20";2018;Datenverarbeitungs-Dienstleistungen;"Erweiterung einer Betriebsstätte";458960;"Erweiterung einer Betriebsstätte"
840;Unternehmensförderung;Treptow-Köpenick;"HTM Reetz GmbH";12555;"Köpenicker Straße 325 c";2018;"Herstellung Öfen/Brenner";"Erweiterung einer Betriebsstätte";17420;"Erweiterung einer Betriebsstätte"
1608;Unternehmensförderung;Marzahn-Hellersdorf;"Minerva Biolabs GmbH";12681;"Schkopauer Ring 13";2017;"Herstellung Pharma-Grundstoffe";"Erweiterung einer Betriebsstätte";2198180;"Erweiterung einer Betriebsstätte"
585;Unternehmensförderung;Steglitz-Zehlendorf;"BANDELIN electronic GmbH & Co. KG";12207;"Heinrichstr. 3-4";2019;"Herstellung elektro-medizinischer Geräte";"Erweiterung einer Betriebsstätte";195900;"Erweiterung einer Betriebsstätte"
1353;Unternehmensförderung;Neukölln;"FURORE-WERBUNG GmbH";12057;"Schmalenbachstr. 27";2017;Werbeagenturen;"Erweiterung einer Betriebsstätte";332590;"Erweiterung einer Betriebsstätte"
1098;Unternehmensförderung;Treptow-Köpenick;"Ahlberg Metalltechnik GmbH";12487;"Igo-Etrich-Str. 7";2018;Press/Zieh/Stanzung;"Erweiterung einer Betriebsstätte";759960;"Erweiterung einer Betriebsstätte"
843;Unternehmensförderung;Tempelhof-Schöneberg;"BerlinTextil GmbH";10829;"Wilhelm-Kabus-Straße 36";2018;Textilienveredelung;"Erweiterung einer Betriebsstätte";87550;"Erweiterung einer Betriebsstätte"
